horodatage;code_http;duree_ms;serveur
2026-09-18T11:39:32.357;200;7;web2
2026-09-18T11:39:32.403;200;10;web1
2026-09-18T11:39:32.455;200;14;web2
2026-09-18T11:39:32.502;200;9;web1
2026-09-18T11:39:32.555;200;16;web2
2026-09-18T11:39:32.599;200;12;web1
2026-09-18T11:39:32.649;200;14;web2
2026-09-18T11:39:32.692;200;6;web1
2026-09-18T11:39:32.746;200;9;web2
2026-09-18T11:39:32.789;200;7;web1
2026-09-18T11:39:32.840;200;7;web2
2026-09-18T11:39:32.884;200;15;web1
2026-09-18T11:39:32.934;200;15;web2
2026-09-18T11:39:32.976;200;9;web1
2026-09-18T11:39:33.032;200;8;web2
2026-09-18T11:39:33.088;200;6;web1
2026-09-18T11:39:33.131;200;7;web2
2026-09-18T11:39:33.180;200;13;web1
2026-09-18T11:39:33.224;200;6;web2
2026-09-18T11:39:33.278;200;8;web1
2026-09-18T11:39:33.323;200;6;web2
2026-09-18T11:39:33.375;200;13;web1
2026-09-18T11:39:33.421;200;6;web2
2026-09-18T11:39:33.475;200;11;web1
2026-09-18T11:39:33.519;200;15;web2
2026-09-18T11:39:33.571;200;15;web1
2026-09-18T11:39:33.614;200;7;web2
2026-09-18T11:39:33.668;200;17;web1
2026-09-18T11:39:33.710;200;6;web2
2026-09-18T11:39:33.763;200;15;web1
2026-09-18T11:39:33.807;200;11;web2
2026-09-18T11:39:33.857;200;13;web1
2026-09-18T11:39:33.902;200;11;web2
2026-09-18T11:39:33.955;200;18;web1
2026-09-18T11:39:34.000;200;7;web2
2026-09-18T11:39:34.051;200;15;web1
2026-09-18T11:39:34.098;200;7;web2
2026-09-18T11:39:34.153;200;7;web1
2026-09-18T11:39:34.197;200;7;web2
2026-09-18T11:39:34.251;200;15;web1
2026-09-18T11:39:34.301;200;9;web2
2026-09-18T11:39:34.352;200;15;web1
2026-09-18T11:39:34.395;200;14;web2
2026-09-18T11:39:34.450;200;15;web1
2026-09-18T11:39:34.495;200;7;web2
2026-09-18T11:39:34.547;200;14;web1
2026-09-18T11:39:34.591;200;6;web2
2026-09-18T11:39:34.643;200;15;web1
2026-09-18T11:39:34.688;200;6;web2
2026-09-18T11:39:34.741;200;13;web1
2026-09-18T11:39:34.784;200;14;web2
2026-09-18T11:39:34.837;200;15;web1
2026-09-18T11:39:34.881;200;8;web2
2026-09-18T11:39:34.937;200;16;web1
2026-09-18T11:39:34.993;200;7;web2
2026-09-18T11:39:35.039;200;6;web1
2026-09-18T11:39:35.092;200;6;web2
2026-09-18T11:39:35.136;200;9;web1
2026-09-18T11:39:35.187;200;15;web2
2026-09-18T11:39:35.231;200;7;web1
2026-09-18T11:39:35.282;200;15;web2
2026-09-18T11:39:35.329;200;6;web1
2026-09-18T11:39:35.384;200;7;web2
2026-09-18T11:39:35.427;200;5;web1
2026-09-18T11:39:35.480;200;9;web2
2026-09-18T11:39:35.523;200;14;web1
2026-09-18T11:39:35.573;200;13;web2
2026-09-18T11:39:35.616;200;7;web1
2026-09-18T11:39:35.673;200;12;web2
2026-09-18T11:39:35.727;200;6;web1
2026-09-18T11:39:35.771;200;7;web2
2026-09-18T11:39:35.818;200;11;web1
2026-09-18T11:39:35.861;200;17;web2
2026-09-18T11:39:35.918;200;6;web1
2026-09-18T11:39:35.961;200;12;web2
2026-09-18T11:39:36.012;200;13;web1
2026-09-18T11:39:36.056;200;7;web2
2026-09-18T11:39:36.113;200;8;web1
2026-09-18T11:39:36.172;200;12;web2
2026-09-18T11:39:36.227;200;14;web1
2026-09-18T11:39:36.273;200;6;web2
2026-09-18T11:39:36.330;200;14;web1
2026-09-18T11:39:36.389;200;13;web2
2026-09-18T11:39:36.446;200;7;web1
2026-09-18T11:39:36.491;200;7;web2
2026-09-18T11:39:36.546;200;6;web1
2026-09-18T11:39:36.605;200;6;web2
2026-09-18T11:39:36.647;200;12;web1
2026-09-18T11:39:36.699;200;15;web2
2026-09-18T11:39:36.740;200;12;web1
2026-09-18T11:39:36.792;200;14;web2
2026-09-18T11:39:36.832;200;12;web1
2026-09-18T11:39:36.889;200;6;web2
2026-09-18T11:39:36.933;200;7;web1
2026-09-18T11:39:36.985;200;9;web2
2026-09-18T11:39:37.028;200;12;web1
2026-09-18T11:39:37.084;200;13;web2
2026-09-18T11:39:37.139;200;6;web1
2026-09-18T11:39:37.183;200;12;web2
2026-09-18T11:39:37.234;200;15;web1
2026-09-18T11:39:37.276;200;7;web2
2026-09-18T11:39:37.328;200;8;web1
2026-09-18T11:39:37.369;200;10;web2
2026-09-18T11:39:37.421;200;13;web1
2026-09-18T11:39:37.462;200;6;web2
2026-09-18T11:39:37.518;200;8;web1
2026-09-18T11:39:37.570;200;6;web2
2026-09-18T11:39:37.612;200;15;web1
2026-09-18T11:39:37.670;200;16;web2
2026-09-18T11:39:37.718;200;7;web1
2026-09-18T11:39:37.769;200;13;web2
2026-09-18T11:39:37.812;200;7;web1
2026-09-18T11:39:37.862;200;14;web2
2026-09-18T11:39:37.909;200;6;web1
2026-09-18T11:39:37.967;200;13;web2
2026-09-18T11:39:38.022;200;6;web1
2026-09-18T11:39:38.066;200;11;web2
2026-09-18T11:39:38.119;200;16;web1
2026-09-18T11:39:38.163;200;6;web2
2026-09-18T11:39:38.213;200;15;web1
2026-09-18T11:39:38.257;200;6;web2
2026-09-18T11:39:38.301;200;7;web1
2026-09-18T11:39:38.346;200;11;web2
2026-09-18T11:39:38.400;200;16;web1
2026-09-18T11:39:38.445;200;12;web2
2026-09-18T11:39:38.501;200;7;web1
2026-09-18T11:39:38.559;200;7;web2
2026-09-18T11:39:38.605;200;6;web1
2026-09-18T11:39:38.664;200;7;web2
2026-09-18T11:39:38.708;200;5;web1
2026-09-18T11:39:38.760;200;7;web2
2026-09-18T11:39:38.806;200;15;web1
2026-09-18T11:39:38.859;200;15;web2
2026-09-18T11:39:38.916;200;14;web1
2026-09-18T11:39:38.957;200;6;web2
2026-09-18T11:39:38.999;200;9;web1
2026-09-18T11:39:39.053;200;15;web2
2026-09-18T11:39:39.097;200;6;web1
2026-09-18T11:39:39.149;200;10;web2
2026-09-18T11:39:39.193;200;11;web1
2026-09-18T11:39:39.244;200;14;web2
2026-09-18T11:39:39.291;200;7;web1
2026-09-18T11:39:39.349;200;10;web2
2026-09-18T11:39:39.403;200;6;web1
2026-09-18T11:39:39.447;200;9;web2
2026-09-18T11:39:39.505;200;16;web1
2026-09-18T11:39:39.558;200;8;web2
2026-09-18T11:39:39.604;200;7;web1
2026-09-18T11:39:39.659;200;14;web2
2026-09-18T11:39:39.703;200;8;web1
2026-09-18T11:39:39.755;200;12;web2
2026-09-18T11:39:39.797;200;10;web1
2026-09-18T11:39:39.853;200;8;web2
2026-09-18T11:39:39.895;200;12;web1
2026-09-18T11:39:39.948;200;9;web2
2026-09-18T11:39:39.991;200;11;web1
2026-09-18T11:39:40.043;200;14;web2
2026-09-18T11:39:40.092;200;11;web1
2026-09-18T11:39:40.137;200;7;web2
2026-09-18T11:39:40.179;200;9;web1
2026-09-18T11:39:40.231;200;15;web2
2026-09-18T11:39:40.270;200;9;web1
2026-09-18T11:39:40.321;200;6;web2
2026-09-18T11:39:40.369;200;7;web1
2026-09-18T11:39:40.420;200;15;web2
2026-09-18T11:39:40.466;200;8;web1
2026-09-18T11:39:40.517;200;16;web2
2026-09-18T11:39:40.559;200;8;web1
2026-09-18T11:39:40.609;200;13;web2
2026-09-18T11:39:40.655;200;5;web1
2026-09-18T11:39:40.707;200;15;web2
2026-09-18T11:39:40.754;200;11;web1
2026-09-18T11:39:40.810;200;12;web2
2026-09-18T11:39:40.861;200;9;web1
2026-09-18T11:39:40.906;200;7;web2
2026-09-18T11:39:40.960;200;13;web1
2026-09-18T11:39:41.016;200;7;web2
2026-09-18T11:39:41.060;200;7;web1
2026-09-18T11:39:41.110;200;14;web2
2026-09-18T11:39:41.155;200;6;web1
2026-09-18T11:39:41.208;200;7;web2
2026-09-18T11:39:41.253;200;7;web1
2026-09-18T11:39:41.305;200;8;web2
2026-09-18T11:39:41.358;200;11;web1
2026-09-18T11:39:41.403;200;8;web2
2026-09-18T11:39:41.447;200;7;web1
2026-09-18T11:39:41.499;200;15;web2
2026-09-18T11:39:41.546;200;14;web1
2026-09-18T11:39:41.597;200;15;web2
2026-09-18T11:39:41.639;200;7;web1
2026-09-18T11:39:41.691;200;15;web2
2026-09-18T11:39:41.737;200;14;web1
2026-09-18T11:39:41.789;200;15;web2
2026-09-18T11:39:41.830;200;12;web1
2026-09-18T11:39:41.884;200;14;web2
2026-09-18T11:39:41.939;200;7;web1
2026-09-18T11:39:41.984;200;6;web2
2026-09-18T11:39:42.039;200;6;web1
2026-09-18T11:39:42.084;200;7;web2
2026-09-18T11:39:42.137;200;13;web1
2026-09-18T11:39:42.180;200;12;web2
2026-09-18T11:39:42.230;200;14;web1
2026-09-18T11:39:42.272;200;9;web2
2026-09-18T11:39:42.323;200;15;web1
2026-09-18T11:39:42.366;200;7;web2
2026-09-18T11:39:42.417;200;15;web1
2026-09-18T11:39:42.460;200;6;web2
2026-09-18T11:39:42.517;200;10;web1
2026-09-18T11:39:42.572;200;6;web2
2026-09-18T11:39:42.617;200;8;web1
2026-09-18T11:39:42.667;200;15;web2
2026-09-18T11:39:42.711;200;6;web1
2026-09-18T11:39:42.759;200;14;web2
2026-09-18T11:39:42.805;200;7;web1
2026-09-18T11:39:42.857;200;9;web2
2026-09-18T11:39:42.903;200;6;web1
2026-09-18T11:39:42.957;200;7;web2
2026-09-18T11:39:43.004;200;7;web1
2026-09-18T11:39:43.056;200;9;web2
2026-09-18T11:39:43.101;200;9;web1
2026-09-18T11:39:43.153;200;6;web2
2026-09-18T11:39:43.196;200;6;web1
2026-09-18T11:39:43.246;200;15;web2
2026-09-18T11:39:43.292;200;7;web1
2026-09-18T11:39:43.344;200;7;web2
2026-09-18T11:39:43.386;200;7;web1
2026-09-18T11:39:43.439;200;7;web2
2026-09-18T11:39:43.484;200;6;web1
2026-09-18T11:39:43.544;200;12;web2
2026-09-18T11:39:43.601;200;6;web1
2026-09-18T11:39:43.646;200;6;web2
2026-09-18T11:39:43.699;200;6;web1
2026-09-18T11:39:43.757;200;7;web2
2026-09-18T11:39:43.804;200;16;web1
2026-09-18T11:39:43.859;200;13;web2
2026-09-18T11:39:43.916;200;5;web1
2026-09-18T11:39:43.958;200;6;web2
2026-09-18T11:39:44.013;200;16;web1
2026-09-18T11:39:44.057;200;7;web2
2026-09-18T11:39:44.108;200;13;web1
2026-09-18T11:39:44.151;200;15;web2
2026-09-18T11:39:44.226;200;15;web1
2026-09-18T11:39:44.284;200;11;web2
2026-09-18T11:39:44.342;200;7;web1
2026-09-18T11:39:44.386;200;9;web2
2026-09-18T11:39:44.443;200;16;web1
2026-09-18T11:39:44.506;200;16;web2
2026-09-18T11:39:44.562;200;13;web1
2026-09-18T11:39:44.621;200;7;web2
2026-09-18T11:39:44.665;200;9;web1
2026-09-18T11:39:44.744;200;11;web2
2026-09-18T11:39:44.813;200;23;web1
2026-09-18T11:39:44.875;200;9;web2
2026-09-18T11:39:44.929;200;11;web1
2026-09-18T11:39:44.982;200;8;web2
2026-09-18T11:39:45.027;200;6;web1
2026-09-18T11:39:45.073;200;7;web2
2026-09-18T11:39:45.128;200;16;web1
2026-09-18T11:39:45.172;200;6;web2
2026-09-18T11:39:45.225;200;11;web1
2026-09-18T11:39:45.270;200;6;web2
2026-09-18T11:39:45.326;200;14;web1
2026-09-18T11:39:45.368;200;6;web2
2026-09-18T11:39:45.426;200;9;web1
2026-09-18T11:39:45.483;200;7;web2
2026-09-18T11:39:45.529;200;7;web1
2026-09-18T11:39:45.588;200;9;web2
2026-09-18T11:39:45.644;200;9;web1
2026-09-18T11:39:45.702;200;14;web2
2026-09-18T11:39:45.763;200;6;web1
2026-09-18T11:39:45.807;200;15;web2
2026-09-18T11:39:45.859;200;15;web1
2026-09-18T11:39:45.903;200;6;web2
2026-09-18T11:39:45.957;200;15;web1
2026-09-18T11:39:46.002;200;7;web2
2026-09-18T11:39:46.054;200;14;web1
2026-09-18T11:39:46.099;200;7;web2
2026-09-18T11:39:46.153;200;14;web1
2026-09-18T11:39:46.201;200;15;web2
2026-09-18T11:39:46.254;200;15;web1
2026-09-18T11:39:46.299;200;15;web2
2026-09-18T11:39:46.356;200;14;web1
2026-09-18T11:39:46.416;200;8;web2
2026-09-18T11:39:46.477;200;6;web1
2026-09-18T11:39:46.526;200;8;web2
2026-09-18T11:39:46.585;200;13;web1
2026-09-18T11:39:46.646;200;6;web2
2026-09-18T11:39:46.705;200;12;web1
2026-09-18T11:39:46.765;200;8;web2
2026-09-18T11:39:46.823;200;6;web1
2026-09-18T11:39:46.874;200;7;web2
2026-09-18T11:39:46.929;200;13;web1
2026-09-18T11:39:46.987;200;6;web2
2026-09-18T11:39:47.032;200;8;web1
2026-09-18T11:39:47.087;200;7;web2
2026-09-18T11:39:47.143;200;6;web1
2026-09-18T11:39:47.189;200;8;web2
2026-09-18T11:39:47.243;200;7;web1
2026-09-18T11:39:47.291;200;8;web2
2026-09-18T11:39:47.347;200;13;web1
2026-09-18T11:39:47.407;200;7;web2
2026-09-18T11:39:47.452;200;7;web1
2026-09-18T11:39:47.508;200;18;web2
2026-09-18T11:39:47.567;200;7;web1
2026-09-18T11:39:47.611;200;11;web2
2026-09-18T11:39:47.667;200;15;web1
2026-09-18T11:39:47.716;200;5;web2
2026-09-18T11:39:47.771;200;8;web1
2026-09-18T11:39:47.828;200;7;web2
2026-09-18T11:39:47.873;200;7;web1
2026-09-18T11:39:47.929;200;9;web2
2026-09-18T11:39:47.991;200;8;web1
2026-09-18T11:39:48.053;200;10;web2
2026-09-18T11:39:48.113;200;16;web1
2026-09-18T11:39:48.157;200;8;web2
2026-09-18T11:39:48.210;200;9;web1
2026-09-18T11:39:48.256;200;6;web2
2026-09-18T11:39:48.308;200;8;web1
2026-09-18T11:39:48.355;200;16;web2
2026-09-18T11:39:48.409;200;16;web1
2026-09-18T11:39:48.450;200;7;web2
2026-09-18T11:39:48.508;200;9;web1
2026-09-18T11:39:48.555;200;7;web2
2026-09-18T11:39:48.598;200;6;web1
2026-09-18T11:39:48.643;200;9;web2
2026-09-18T11:39:48.697;200;16;web1
2026-09-18T11:39:48.743;200;6;web2
2026-09-18T11:39:48.798;200;15;web1
2026-09-18T11:39:48.846;200;6;web2
2026-09-18T11:39:48.901;200;16;web1
2026-09-18T11:39:48.960;200;7;web2
2026-09-18T11:39:49.006;200;7;web1
2026-09-18T11:39:49.061;200;14;web2
2026-09-18T11:39:49.121;200;7;web1
2026-09-18T11:39:49.175;200;7;web2
2026-09-18T11:39:49.240;200;15;web1
2026-09-18T11:39:49.321;200;27;web2
2026-09-18T11:39:49.386;200;13;web1
2026-09-18T11:39:49.453;200;23;web2
2026-09-18T11:39:49.522;200;11;web1
2026-09-18T11:39:49.589;200;11;web2
2026-09-18T11:39:49.647;200;16;web1
2026-09-18T11:39:49.706;200;18;web2
2026-09-18T11:39:49.775;200;11;web1
2026-09-18T11:39:49.830;200;14;web2
2026-09-18T11:39:49.888;200;6;web1
2026-09-18T11:39:49.936;200;9;web2
2026-09-18T11:39:49.992;200;14;web1
2026-09-18T11:39:50.054;200;8;web2
2026-09-18T11:39:50.115;200;7;web1
2026-09-18T11:39:50.172;200;8;web2
2026-09-18T11:39:50.236;200;14;web1
2026-09-18T11:39:50.306;200;16;web2
2026-09-18T11:39:50.393;200;18;web1
2026-09-18T11:39:50.438;200;7;web2
2026-09-18T11:39:50.495;200;14;web1
2026-09-18T11:39:50.555;200;8;web2
2026-09-18T11:39:50.599;200;6;web1
2026-09-18T11:39:50.651;200;16;web2
2026-09-18T11:39:50.693;200;8;web1
2026-09-18T11:39:50.743;200;14;web2
2026-09-18T11:39:50.787;200;7;web1
2026-09-18T11:39:50.838;200;15;web2
2026-09-18T11:39:50.882;200;8;web1
2026-09-18T11:39:50.932;200;14;web2
2026-09-18T11:39:50.985;200;7;web1
2026-09-18T11:39:51.029;200;9;web2
2026-09-18T11:39:51.074;200;6;web1
2026-09-18T11:39:51.130;200;12;web2
2026-09-18T11:39:51.175;200;6;web1
2026-09-18T11:39:51.228;200;12;web2
2026-09-18T11:39:51.272;200;11;web1
2026-09-18T11:39:51.326;200;16;web2
2026-09-18T11:39:51.370;200;8;web1
2026-09-18T11:39:51.423;200;8;web2
2026-09-18T11:39:51.467;200;7;web1
2026-09-18T11:39:51.520;200;13;web2
2026-09-18T11:39:51.567;200;14;web1
2026-09-18T11:39:51.623;200;16;web2
