horodatage;code_http;duree_ms;serveur
2026-09-18T11:39:04.159;200;15;web1
2026-09-18T11:39:04.197;200;8;web2
2026-09-18T11:39:04.245;200;16;web1
2026-09-18T11:39:04.285;200;10;web2
2026-09-18T11:39:04.332;200;6;web1
2026-09-18T11:39:04.368;200;6;web2
2026-09-18T11:39:04.411;200;11;web1
2026-09-18T11:39:04.452;200;7;web2
2026-09-18T11:39:04.497;200;12;web1
2026-09-18T11:39:04.536;200;10;web2
2026-09-18T11:39:04.577;200;6;web1
2026-09-18T11:39:04.624;200;12;web2
2026-09-18T11:39:04.663;200;8;web1
2026-09-18T11:39:04.709;200;6;web2
2026-09-18T11:39:04.750;200;13;web1
2026-09-18T11:39:04.789;200;10;web2
2026-09-18T11:39:04.838;200;12;web1
2026-09-18T11:39:04.879;200;8;web2
2026-09-18T11:39:04.920;200;6;web1
2026-09-18T11:39:04.969;200;13;web2
2026-09-18T11:39:05.006;200;7;web1
2026-09-18T11:39:05.045;200;8;web2
2026-09-18T11:39:05.093;200;8;web1
2026-09-18T11:39:05.131;200;6;web2
2026-09-18T11:39:05.169;200;7;web1
2026-09-18T11:39:05.215;200;7;web2
2026-09-18T11:39:05.255;200;7;web1
2026-09-18T11:39:05.294;200;7;web2
2026-09-18T11:39:05.341;200;8;web1
2026-09-18T11:39:05.379;200;7;web2
2026-09-18T11:39:05.422;200;7;web1
2026-09-18T11:39:05.469;200;15;web2
2026-09-18T11:39:05.505;200;8;web1
2026-09-18T11:39:05.544;200;6;web2
2026-09-18T11:39:05.586;200;8;web1
2026-09-18T11:39:05.630;200;6;web2
2026-09-18T11:39:05.671;200;8;web1
2026-09-18T11:39:05.721;200;15;web2
2026-09-18T11:39:05.762;200;8;web1
2026-09-18T11:39:05.807;200;15;web2
2026-09-18T11:39:05.846;200;7;web1
2026-09-18T11:39:05.886;200;9;web2
2026-09-18T11:39:05.929;200;13;web1
