horodatage;code_http;duree_ms;serveur
2026-09-18T15:58:35.214;200;6;web1
2026-09-18T15:58:35.268;200;14;web2
2026-09-18T15:58:35.312;200;8;web1
2026-09-18T15:58:35.370;200;16;web2
2026-09-18T15:58:35.429;200;8;web1
2026-09-18T15:58:35.476;200;7;web2
2026-09-18T15:58:35.531;200;12;web1
2026-09-18T15:58:35.587;200;6;web2
2026-09-18T15:58:35.635;200;7;web1
2026-09-18T15:58:35.688;200;14;web2
2026-09-18T15:58:35.734;200;7;web1
2026-09-18T15:58:35.789;200;16;web2
2026-09-18T15:58:35.853;200;13;web1
2026-09-18T15:58:35.910;200;7;web2
2026-09-18T15:58:35.952;200;10;web1
2026-09-18T15:58:36.005;200;13;web2
2026-09-18T15:58:36.053;200;11;web1
2026-09-18T15:58:36.108;200;14;web2
2026-09-18T15:58:36.165;200;5;web1
2026-09-18T15:58:36.211;200;6;web2
2026-09-18T15:58:36.267;200;7;web1
2026-09-18T15:58:36.325;200;8;web2
2026-09-18T15:58:36.371;200;10;web1
2026-09-18T15:58:36.426;200;13;web2
2026-09-18T15:58:36.473;200;6;web1
2026-09-18T15:58:36.530;200;12;web2
2026-09-18T15:58:36.579;200;6;web1
2026-09-18T15:58:36.632;200;8;web2
2026-09-18T15:58:36.688;200;7;web1
2026-09-18T15:58:36.734;200;7;web2
2026-09-18T15:58:36.788;200;14;web1
2026-09-18T15:58:36.849;200;6;web2
2026-09-18T15:58:36.905;200;7;web1
2026-09-18T15:58:36.950;200;7;web2
2026-09-18T15:58:37.008;200;26;web1
2026-09-18T15:58:37.067;200;8;web2
2026-09-18T15:58:37.111;200;6;web1
2026-09-18T15:58:37.167;200;18;web2
2026-09-18T15:58:37.223;200;6;web1
2026-09-18T15:58:37.270;200;10;web2
2026-09-18T15:58:37.322;200;15;web1
2026-09-18T15:58:37.365;200;14;web2
2026-09-18T15:58:37.421;200;18;web1
2026-09-18T15:58:37.465;200;7;web2
2026-09-18T15:58:37.519;200;9;web1
2026-09-18T15:58:37.562;200;10;web2
2026-09-18T15:58:37.618;200;8;web1
2026-09-18T15:58:37.673;200;7;web2
2026-09-18T15:58:37.722;200;6;web1
2026-09-18T15:58:37.776;200;9;web2
2026-09-18T15:58:37.823;200;6;web1
2026-09-18T15:58:37.875;200;13;web2
2026-09-18T15:58:37.919;200;7;web1
2026-09-18T15:58:37.971;200;14;web2
2026-09-18T15:58:38.013;200;11;web1
2026-09-18T15:58:38.070;200;17;web2
2026-09-18T15:58:38.126;200;6;web1
2026-09-18T15:58:38.171;200;9;web2
2026-09-18T15:58:38.223;200;13;web1
2026-09-18T15:58:38.267;200;15;web2
2026-09-18T15:58:38.322;200;15;web1
2026-09-18T15:58:38.369;200;6;web2
2026-09-18T15:58:38.421;200;15;web1
2026-09-18T15:58:38.463;200;12;web2
2026-09-18T15:58:38.516;200;13;web1
2026-09-18T15:58:38.558;200;14;web2
2026-09-18T15:58:38.607;200;13;web1
2026-09-18T15:58:38.652;200;14;web2
2026-09-18T15:58:38.705;200;15;web1
2026-09-18T15:58:38.750;200;15;web2
2026-09-18T15:58:38.805;200;15;web1
2026-09-18T15:58:38.853;200;6;web2
2026-09-18T15:58:38.908;200;15;web1
2026-09-18T15:58:38.953;200;7;web2
2026-09-18T15:58:39.005;200;9;web1
2026-09-18T15:58:39.053;200;13;web2
2026-09-18T15:58:39.107;200;12;web1
2026-09-18T15:58:39.153;200;8;web2
2026-09-18T15:58:39.206;200;14;web1
2026-09-18T15:58:39.251;200;13;web2
2026-09-18T15:58:39.307;200;26;web1
2026-09-18T15:58:39.365;200;5;web2
2026-09-18T15:58:39.422;200;11;web1
2026-09-18T15:58:39.467;200;12;web2
2026-09-18T15:58:39.527;200;6;web1
2026-09-18T15:58:39.585;200;6;web2
2026-09-18T15:58:39.632;200;12;web1
2026-09-18T15:58:39.690;200;12;web2
2026-09-18T15:58:39.748;200;5;web1
2026-09-18T15:58:39.807;200;9;web2
2026-09-18T15:58:39.864;200;13;web1
2026-09-18T15:58:39.920;200;7;web2
2026-09-18T15:58:39.962;200;13;web1
2026-09-18T15:58:40.016;200;12;web2
2026-09-18T15:58:40.060;200;10;web1
2026-09-18T15:58:40.119;200;15;web2
2026-09-18T15:58:40.171;200;13;web1
2026-09-18T15:58:40.217;200;8;web2
2026-09-18T15:58:40.269;200;14;web1
2026-09-18T15:58:40.314;200;8;web2
2026-09-18T15:58:40.369;200;8;web1
2026-09-18T15:58:40.426;200;6;web2
2026-09-18T15:58:40.472;200;7;web1
2026-09-18T15:58:40.527;200;12;web2
2026-09-18T15:58:40.585;200;6;web1
2026-09-18T15:58:40.641;200;11;web2
2026-09-18T15:58:40.685;200;7;web1
2026-09-18T15:58:40.732;200;7;web2
2026-09-18T15:58:40.786;200;7;web1
2026-09-18T15:58:40.847;200;7;web2
2026-09-18T15:58:40.889;200;6;web1
2026-09-18T15:58:40.945;200;12;web2
2026-09-18T15:58:41.001;200;7;web1
2026-09-18T15:58:41.050;200;11;web2
2026-09-18T15:58:41.105;200;19;web1
2026-09-18T15:58:41.163;200;9;web2
2026-09-18T15:58:41.213;200;6;web1
2026-09-18T15:58:41.275;200;14;web2
2026-09-18T15:58:41.336;200;8;web1
2026-09-18T15:58:41.394;200;8;web2
2026-09-18T15:58:41.441;200;17;web1
2026-09-18T15:58:41.495;200;12;web2
2026-09-18T15:58:41.557;200;10;web1
2026-09-18T15:58:41.615;200;6;web2
2026-09-18T15:58:41.659;200;13;web1
2026-09-18T15:58:41.710;200;13;web2
2026-09-18T15:58:41.755;200;9;web1
2026-09-18T15:58:41.809;200;13;web2
2026-09-18T15:58:41.854;200;6;web1
2026-09-18T15:58:41.910;200;10;web2
2026-09-18T15:58:41.970;200;15;web1
2026-09-18T15:58:42.012;200;14;web2
2026-09-18T15:58:42.068;200;16;web1
2026-09-18T15:58:42.127;200;10;web2
2026-09-18T15:58:42.174;200;6;web1
2026-09-18T15:58:42.228;200;15;web2
2026-09-18T15:58:42.271;200;8;web1
2026-09-18T15:58:42.322;200;13;web2
2026-09-18T15:58:42.367;200;8;web1
2026-09-18T15:58:42.422;200;15;web2
2026-09-18T15:58:42.467;200;7;web1
2026-09-18T15:58:42.523;200;13;web2
2026-09-18T15:58:42.579;200;6;web1
2026-09-18T15:58:42.623;200;6;web2
2026-09-18T15:58:42.674;200;13;web1
2026-09-18T15:58:42.721;200;6;web2
2026-09-18T15:58:42.776;200;8;web1
2026-09-18T15:58:42.835;200;5;web2
2026-09-18T15:58:42.885;200;6;web1
2026-09-18T15:58:42.941;200;13;web2
2026-09-18T15:58:42.998;200;6;web1
2026-09-18T15:58:43.055;200;6;web2
2026-09-18T15:58:43.101;200;16;web1
2026-09-18T15:58:43.156;200;16;web2
2026-09-18T15:58:43.203;200;7;web1
2026-09-18T15:58:43.254;200;14;web2
2026-09-18T15:58:43.299;200;9;web1
2026-09-18T15:58:43.353;200;15;web2
2026-09-18T15:58:43.398;200;7;web1
2026-09-18T15:58:43.453;200;14;web2
2026-09-18T15:58:43.499;200;16;web1
2026-09-18T15:58:43.553;200;13;web2
2026-09-18T15:58:43.600;200;7;web1
2026-09-18T15:58:43.659;200;14;web2
2026-09-18T15:58:43.718;200;8;web1
2026-09-18T15:58:43.777;200;13;web2
2026-09-18T15:58:43.837;200;13;web1
2026-09-18T15:58:43.895;200;7;web2
2026-09-18T15:58:43.938;200;10;web1
2026-09-18T15:58:43.994;200;15;web2
2026-09-18T15:58:44.039;200;6;web1
2026-09-18T15:58:44.093;200;14;web2
2026-09-18T15:58:44.141;200;5;web1
2026-09-18T15:58:44.197;200;14;web2
2026-09-18T15:58:44.254;200;7;web1
2026-09-18T15:58:44.300;200;14;web2
2026-09-18T15:58:44.355;200;11;web1
2026-09-18T15:58:44.412;200;7;web2
2026-09-18T15:58:44.457;200;8;web1
2026-09-18T15:58:44.514;200;13;web2
2026-09-18T15:58:44.574;200;10;web1
2026-09-18T15:58:44.620;200;7;web2
2026-09-18T15:58:44.672;200;13;web1
2026-09-18T15:58:44.720;200;7;web2
2026-09-18T15:58:44.780;200;19;web1
2026-09-18T15:58:44.850;200;18;web2
2026-09-18T15:58:44.903;200;19;web1
2026-09-18T15:58:44.961;200;7;web2
2026-09-18T15:58:45.006;200;11;web1
2026-09-18T15:58:45.059;200;14;web2
2026-09-18T15:58:45.109;200;8;web1
2026-09-18T15:58:45.166;200;8;web2
2026-09-18T15:58:45.223;200;5;web1
2026-09-18T15:58:45.267;200;10;web2
2026-09-18T15:58:45.321;200;17;web1
2026-09-18T15:58:45.363;200;9;web2
2026-09-18T15:58:45.419;200;15;web1
2026-09-18T15:58:45.475;200;8;web2
2026-09-18T15:58:45.522;200;6;web1
